tag,weight,IBI
tt14_126b,291,35.1
tt14_126b,291,14.6
tt14_126b,291,16.6
tt14_126b,291,53.2
tt14_126b,291,14.7
tt14_126b,291,13.9
tt14_126b,291,82.5
tt14_126b,291,12.3
tt14_126b,291,27.9
tt14_126b,291,8.7
tt14_126b,291,41.2
tt14_126b,291,13.2
tt14_126b,291,14.2
tt14_126b,291,74.8
tt14_126b,291,12.9
tt14_126b,291,11.4
tt14_126b,291,69.4
tt14_126b,291,11.7
tt14_126b,291,61.6
tt14_126b,291,9.6
tt14_126b,291,65.7
tt14_126b,291,35.7
tt14_126b,291,28.5
tt14_126b,291,65.3
tt14_126b,291,8.1
tt14_126b,291,87.8
tt14_126b,291,9.8
tt14_126b,291,67
tt14_126b,291,5.9
tt14_126b,291,9.1
tt14_126b,291,78.2
tt14_126b,291,9.2
tt14_126b,291,11.5
tt14_126b,291,7.2
tt14_126b,291,39.9
tt14_126b,291,12.3
tt14_126b,291,81.4
tt14_126b,291,10.8
tt14_126b,291,56.1
tt14_126b,291,8.7
tt14_126b,291,53.7
tt14_126b,291,10.9
tt14_126b,291,72.3
tt14_126b,291,10.6
tt14_126b,291,60.9
tt14_126b,291,20.5
tt14_126b,291,58.3
tt14_126b,291,10.4
tt14_126b,291,26.8
